text,signal_type,true_qid,true_country,true_continent,pred_qid,pred_country,pred_continent,exact,country_match,continent_match
"Kaizer Chiefs Foundation Launches Youth Mentorship Programme

Kaizer Chiefs' community foundation has announced a new mentorship initiative targeting young people in surrounding townships, with the programme set to begin intake next month.

The initiative will pair experienced professionals from the club's network with 200 young people aged 16 to 24, offering career guidance, life skills workshops, and access to sporting facilities. ""We see this as a long-term investment in the community that raised this club,"" a foundation spokesperson said at the launch event on Monday. ""These young people have talent, ambition, and energy — they just need someone to help them channel it.""

The programme has been developed in partnership with a regional education trust and will operate from three community centres near the mining belt. Organisers say the location was chosen deliberately, as many participants will come from families affected by the ongoing decline of the extraction industry in the area. The mine dumps that dot the landscape for miles around are a daily reminder of an economy that once sustained entire communities but now employs only a fraction of the workers it once did.

The mentorship will run in six-month cycles, with mentors drawn from the club's alumni network, commercial partners, and local business community. Topics covered will include financial literacy, job interview preparation, and entrepreneurship, alongside more traditional sport-focused development pathways.

Local community leaders have welcomed the initiative, noting that existing government employment programmes have long waiting lists and limited capacity. Several have called for other major sports organisations in the area to follow the club's lead.

Registration is expected to open within the coming weeks, with the first cohort beginning in early February. The foundation has indicated it intends to expand the programme to additional sites across the wider metropolitan area if the pilot proves successful, with a target of reaching 1,000 young people within three years.",A,Q34647,South Africa,Africa,Q217426,South Africa,Africa,False,True,True
"Asante Kotoko Breaks Ground on New Training Facility in Highlands

Asante Kotoko has begun construction on a dedicated training complex on the outskirts of the city, marking the club's largest infrastructure investment in over a decade.

The facility will include two full-size pitches, a gymnasium, a hydrotherapy suite, and accommodation for up to 30 academy players. A club spokesperson confirmed the project had been in planning since 2022 and would be funded through a combination of sponsorship revenue and private investment. ""This is about building something that will serve the club for generations, not just the next transfer window,"" the spokesperson said.

The chosen site sits on the red laterite soil characteristic of the surrounding Ashanti highlands, and engineers have factored the region's heavy rainy season into the drainage design. The area receives some of the highest annual rainfall in the country, and previous training facilities have suffered from waterlogged pitches during the wet months. The new design incorporates subsurface drainage channels and a synthetic warm-up area that remains usable in all conditions.

Local residents have broadly welcomed the project, though some have raised concerns about increased traffic on the narrow approach roads that wind through the surrounding cocoa-growing villages. The club has committed to funding road improvements as part of the development.

Construction is being managed by a regional firm with experience in sports infrastructure. The first phase, covering the pitches and gymnasium, is expected to be operational within 18 months. The academy dormitories and medical facilities will follow in a second phase, with full completion targeted for late 2027.

The club says the facility will also be available for use by the national youth teams during preparation camps, positioning it as a resource for the broader football development ecosystem in the region.",A,Q182059,Ghana,Africa,Q5759321,Canada,North America,False,False,False
"Wydad Athletic Club Partners on Stadium Solar Installation

Wydad Athletic Club has announced a partnership with a regional energy firm to install solar panels across the roof of its stadium complex, in what the club describes as a first for professional sport in the region.

The installation, expected to begin next month, will cover approximately 3,000 square metres of roofing and generate enough electricity to power the stadium's floodlights, administrative offices, and broadcast facilities. ""This is about showing that football clubs can lead on sustainability, not just talk about it,"" a club official told reporters at the announcement. ""Our electricity bills have been climbing for years, and this gives us independence from the grid during peak demand.""

The project is partly motivated by the rising cost of grid electricity, which has been a persistent issue for large venues in the area. The old medina district surrounding the stadium already experiences periodic power fluctuations during evening peak hours, and the club hopes the solar installation will eliminate its reliance on backup diesel generators during night matches. The coastal climate provides excellent solar yield for most of the year, with cloud cover only significantly reducing output during the brief winter rainy period.

The energy firm involved has previously completed commercial solar installations along the coastal industrial corridor and at several large retail sites. A company representative said the stadium project presented unique engineering challenges due to the curved roof structure, requiring custom mounting brackets.

Local environmental groups have praised the initiative, with one calling it ""a visible symbol of what the private sector can achieve when it takes sustainability seriously."" The club expects the system to be fully operational before the start of the next season, with surplus energy potentially fed back into the local grid under a net metering arrangement currently being negotiated with the utility provider.",A,Q7903,Morocco,Africa,Q7903,Morocco,Africa,True,True,True
"Diamond Platnumz Foundation Opens Free Music School Near Harbour

The Diamond Platnumz Foundation has opened a free music school offering classes in production, vocals, and instrument tuition to young people across the wider metropolitan area.

The school, located in a converted warehouse near the harbour, will accept its first cohort of 50 students next month. Classes will run in the evenings to accommodate students who work during the day. ""This city produces incredible talent, but most of it never gets the chance to develop properly because there is nowhere affordable to learn,"" a foundation coordinator said at the opening ceremony. ""We want to change that.""

The initiative has drawn support from WCB Wasafi, the record label founded by the artist, which will provide studio equipment, production software licences, and guest instructors from its roster. The school's location was chosen for its proximity to public transport links along the coastal road, making it accessible from outlying neighbourhoods where many aspiring musicians live. The harbour district itself has undergone rapid development in recent years, with the converted warehouses increasingly hosting creative businesses alongside the traditional shipping and logistics operations.

Local musicians have welcomed the project, noting that formal music education has historically been available only through expensive private institutions or informal apprenticeships. The school will offer four streams — vocal performance, music production, instrumental tuition, and music business — with students able to combine modules across streams.

The foundation says it plans to offer scholarships for students who show particular promise, with the long-term aim of creating a sustainable pipeline of professional musicians. A recording studio on the premises will allow students to produce demo material as part of their coursework. The first intake begins in February, with applications already exceeding available places.",A,Q1960,Tanzania,Africa,Q3272355,Singapore,Asia,False,False,False
"Capcom Announces Largest Graduate Recruitment Drive in Five Years

Capcom has announced its largest graduate recruitment intake in five years, with over 100 positions available across its development studios near the castle district.

The openings span game design, programming, quality assurance, localisation, and sound engineering, reflecting the company's expanding portfolio of titles in simultaneous development. ""We are growing faster than at any point in the last decade, and we need people who are ready to contribute from day one,"" a human resources manager said at a university recruitment event on Thursday. ""The competition for engineering talent in this city is fierce, and we need to be proactive.""

The company's main campus, situated in the commercial area near the canal network that runs through the city centre, has recently undergone renovation to accommodate additional development teams. A new wing housing motion capture and performance studios was completed last quarter, adding capacity for two additional project teams. Local industry observers note that the expansion is part of a broader trend of gaming companies in the region competing aggressively for software engineering and creative graduates, with several rival studios also announcing expanded hiring plans.

The recruitment drive will run through the spring cherry blossom season, with assessment centres held at the campus and at partner universities across the metropolitan area. Successful candidates are expected to start in the autumn. The company has also confirmed it will offer a limited number of paid summer internships for students in their penultimate year of study, with interns working on live projects rather than isolated training exercises.

Starting salaries have been increased by approximately eight per cent compared to last year's intake, a move the company attributes to market conditions rather than recruitment difficulties. The positions are open to graduates from any discipline, though technical roles require demonstrated programming ability.",A,Q35765,Japan,Asia,Q244025,Canada,North America,False,False,False
"Mohun Bagan Opens Permanent Riverside Fan Zone

Mohun Bagan has opened a permanent fan zone near the club's traditional heartland along the river, offering merchandise, food stalls, and large-screen match viewings on game days.

The fan zone occupies a converted jute warehouse on the east bank and can accommodate approximately 500 supporters at capacity. ""This club's identity is inseparable from this part of the city, and we wanted to give fans a place to gather that reflects that history,"" a club marketing director said at the opening on Saturday. ""On match days this area comes alive — the ferries, the rickshaws, the food vendors — and now there is a permanent home for that energy.""

The location was chosen for its accessibility by ferry, rickshaw, and metro, and sits within the dense urban fabric of one of the oldest continuously inhabited parts of the metropolitan area. The neighbourhood's narrow lanes and crumbling colonial-era buildings provide a stark contrast to the modern high-rises visible across the river, but the football culture here predates all of it. Local vendors have been invited to operate food stalls offering regional specialities including fish curry, jhalmuri, and clay-oven bread, and the club has partnered with a heritage organisation to display historical photographs and match memorabilia spanning a century.

The fan zone will operate on all home match days and selected away fixtures, with a large screen broadcasting live coverage. The club has indicated it may host cultural events during the off-season to keep the space active year-round, including film screenings and music performances.

Revenue from merchandise and food sales will be reinvested into the club's community programmes, which currently serve approximately 2,000 young people across the eastern districts. The club says the fan zone also serves a commercial purpose, providing a dedicated retail space that was previously lacking.",A,Q1348,India,Asia,Q49243,United States,North America,False,False,False
"Persepolis FC Partners With NGO on Air Quality Awareness Campaign

Persepolis Football Club has partnered with a local environmental NGO to raise awareness about air quality issues, using match days as a platform to distribute information and protective equipment to fans.

The campaign, launched this week, will see volunteers distribute N95 masks and leaflets about respiratory health at the stadium gates before every home fixture for the remainder of the season. ""When the smog is so thick you cannot see the mountains from the stands, we have a problem that goes beyond football,"" a campaign coordinator said. ""Our fans spend hours outdoors on match days, and many do not realise the health risks of prolonged exposure during high-pollution episodes.""

The initiative reflects growing public concern about pollution levels in the metropolitan area, which regularly exceed World Health Organisation safe limits during the winter temperature inversion period. The basin geography of the city traps pollutants against the surrounding mountain range, creating conditions that can persist for weeks. Schools and government offices have periodically closed during the worst episodes, but outdoor sporting events have generally continued.

The club's large and passionate fanbase — estimated at several million across the country — provides a natural channel for public health messaging that might otherwise struggle to reach younger male demographics, who are statistically less likely to engage with conventional health campaigns.

The NGO behind the campaign has previously worked with schools and hospitals but says this is its first partnership with a sports organisation. ""Football reaches people that health messaging alone does not,"" a spokesperson said. The club has committed to the campaign for the remainder of the season, with data collected on mask distribution volumes and fan survey responses to be used in assessing the campaign's reach and potential expansion to other clubs.",A,Q3616,Iran,Asia,Q71,Switzerland,Europe,False,False,False
"BRAC Launches Digital Literacy Programme for Garment Workers

BRAC has launched a digital literacy programme targeting garment factory workers, with the first classes beginning this week at centres near the industrial district.

The programme will teach smartphone basics, mobile banking, online safety, and basic digital communication over a six-week course, with sessions held in the evenings after factory shifts end. ""These workers power the export economy but many have never sent an email, used a banking app, or even set up a password,"" a programme coordinator said. ""Digital skills are no longer optional — they are essential for safety, savings, and opportunity.""

The garment district, one of the densest industrial zones in the region, employs hundreds of thousands of workers across thousands of factories producing for international brands. Many workers migrate from rural areas with limited formal education and are vulnerable to mobile phone scams, exploitative lending apps, and wage theft facilitated by their inability to verify digital payment records. The programme addresses these risks directly, with modules on recognising fraudulent messages and verifying mobile money transactions.

BRAC has previously operated microfinance, maternal health, and primary education programmes in the area but says this is its first dedicated digital skills initiative. The decision to launch it was driven by a survey of factory workers that found over 60 per cent owned smartphones but fewer than 15 per cent used them for anything beyond calls and basic messaging.

The initial rollout will serve 500 workers across three centres, with plans to scale to 2,000 by the end of the year. Each centre is equipped with charging stations and practice devices, and the curriculum has been translated into the local language with visual guides for participants with limited reading ability. Funding comes from an international development grant, with delivery supported by a local technology training provider.",A,Q1354,Bangladesh,Asia,,,,False,False,False
"IAM Collective Funds Music Education Programme in Harbour Quarter

The hip-hop collective IAM has launched a music education fund targeting young people in the harbour district, with classes in production, DJing, and lyric writing set to begin next month.

The programme will operate from a converted dockside warehouse and accept 40 students in its first intake. ""This neighbourhood made us who we are, and we want the next generation to have the tools we had to find for ourselves,"" a collective spokesperson said at the launch on Friday. ""Back then there was no programme — you learned in bedrooms and basements. These kids deserve better than that.""

The harbour quarter has undergone significant regeneration in recent years, with former industrial buildings converted into creative studios, restaurants, and technology offices. Despite the visible investment, youth unemployment in the surrounding tower block estates remains well above the city average, and the programme is designed to offer practical skills with genuine employment potential rather than purely recreational activity.

Classes will cover music production software, mixing and mastering, lyric composition, and the business side of the music industry including rights management and digital distribution. The programme will partner with local recording studios to offer work placements, and students who complete the full course will receive a portfolio of recorded material suitable for submission to labels or streaming platforms.

Organisers say the fund will be sustained through a combination of concert revenue and contributions from the collective's members, with additional support from a regional cultural development grant. Applications open in two weeks, with priority given to residents of the surrounding neighbourhoods. The mistral winds that batter the coast during winter had kept attendance at the outdoor launch event modest, but organisers said online interest had been strong, with over 200 enquiries received in the first 48 hours.",A,Q23482,France,Europe,Q3272355,Singapore,Asia,False,False,False
"Druid Theatre Announces Open-Air Summer Season Along Waterfront

Druid Theatre Company has announced a summer open-air performance season along the waterfront, with four productions scheduled between June and August.

The season will feature a mix of new writing and classic Irish-language repertoire, performed in a temporary outdoor venue near the old stone arch that marks the entrance to the medieval quarter. ""There is something about performing outdoors here, with the rain always threatening and the pubs filling up behind you, that gives theatre an energy you cannot replicate indoors,"" a company director said. ""The audience becomes part of the landscape.""

The open-air programme is part of a broader effort by the company to attract audiences who might not attend conventional theatre. Ticket prices have been set below the company's usual range, and two of the four productions will operate on a pay-what-you-can basis to remove financial barriers entirely. The venue will seat approximately 200 on tiered benches, with blankets available for the cooler evenings that are common even in summer this far west on the Atlantic coast.

Local businesses in the harbour area have welcomed the initiative, noting that previous outdoor cultural events have generated significant foot traffic in the evenings and extended the trading hours for nearby pubs and restaurants. The company has also partnered with three local food vendors to provide interval refreshments, keeping the economic benefit within the immediate neighbourhood.

Rehearsals for the first production are already underway, with the company working around the unpredictable spring weather. The full programme and ticket information will be announced within the coming weeks. The company says that if the season proves successful, it will consider making the open-air programme an annual fixture, potentially expanding to a full month-long festival format.",A,Q129610,Ireland,Europe,Q756832,United States,North America,False,False,False
